PersonBusinessEntityID,PersonType,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,LoginID,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,DepartmentID,ShiftID,StartDate,EndDate,RateChangeDate,Rate,PayFrequency,DepartmentName,GroupName,EmailAddress,PhoneNumber,PhoneNumberTypeID,AddressTypeID
1,EM,,Ken,J,Sánchez,,0,adventure-works\ken0,,Chief Executive Officer,1/29/1969,S,M,1/14/2009,TRUE,99,69,TRUE,16,1,1/14/2009,,1/14/2009,125.5,2,Executive,Executive General and Administration,ken0@adventure-works.com,697-555-0142,1,2
2,EM,,Terri,Lee,Duffy,,1,adventure-works\terri0,1,Vice President of Engineering,8/1/1971,S,F,1/31/2008,TRUE,1,20,TRUE,1,1,1/31/2008,,1/31/2008,63.4615,2,Engineering,Research and Development,terri0@adventure-works.com,819-555-0175,3,2
3,EM,,Roberto,,Tamburello,,0,adventure-works\roberto0,2,Engineering Manager,11/12/1974,M,M,11/11/2007,TRUE,2,21,TRUE,1,1,11/11/2007,,11/11/2007,43.2692,2,Engineering,Research and Development,roberto0@adventure-works.com,212-555-0187,1,2
4,EM,,Rob,,Walters,,0,adventure-works\rob0,3,Senior Tool Designer,12/23/1974,S,M,12/5/2007,FALSE,48,80,TRUE,1,1,12/5/2007,5/30/2010,12/5/2007,8.62,2,Engineering,Research and Development,rob0@adventure-works.com,612-555-0100,1,2
4,EM,,Rob,,Walters,,0,adventure-works\rob0,3,Senior Tool Designer,12/23/1974,S,M,12/5/2007,FALSE,48,80,TRUE,2,1,5/31/2010,,12/5/2007,8.62,2,Tool Design,Research and Development,rob0@adventure-works.com,612-555-0100,1,2
4,EM,,Rob,,Walters,,0,adventure-works\rob0,3,Senior Tool Designer,12/23/1974,S,M,12/5/2007,FALSE,48,80,TRUE,1,1,12/5/2007,5/30/2010,5/31/2010,23.72,2,Engineering,Research and Development,rob0@adventure-works.com,612-555-0100,1,2
4,EM,,Rob,,Walters,,0,adventure-works\rob0,3,Senior Tool Designer,12/23/1974,S,M,12/5/2007,FALSE,48,80,TRUE,2,1,5/31/2010,,5/31/2010,23.72,2,Tool Design,Research and Development,rob0@adventure-works.com,612-555-0100,1,2
4,EM,,Rob,,Walters,,0,adventure-works\rob0,3,Senior Tool Designer,12/23/1974,S,M,12/5/2007,FALSE,48,80,TRUE,1,1,12/5/2007,5/30/2010,12/15/2011,29.8462,2,Engineering,Research and Development,rob0@adventure-works.com,612-555-0100,1,2
4,EM,,Rob,,Walters,,0,adventure-works\rob0,3,Senior Tool Designer,12/23/1974,S,M,12/5/2007,FALSE,48,80,TRUE,2,1,5/31/2010,,12/15/2011,29.8462,2,Tool Design,Research and Development,rob0@adventure-works.com,612-555-0100,1,2
5,EM,Ms.,Gail,A,Erickson,,0,adventure-works\gail0,3,Design Engineer,9/27/1952,M,F,1/6/2008,TRUE,5,22,TRUE,1,1,1/6/2008,,1/6/2008,32.6923,2,Engineering,Research and Development,gail0@adventure-works.com,849-555-0139,1,2
6,EM,Mr.,Jossef,H,Goldberg,,0,adventure-works\jossef0,3,Design Engineer,3/11/1959,M,M,1/24/2008,TRUE,6,23,TRUE,1,1,1/24/2008,,1/24/2008,32.6923,2,Engineering,Research and Development,jossef0@adventure-works.com,122-555-0189,3,2
7,EM,,Dylan,A,Miller,,2,adventure-works\dylan0,3,Research and Development Manager,2/24/1987,M,M,2/8/2009,TRUE,61,50,TRUE,6,1,2/8/2009,,2/8/2009,50.4808,2,Research and Development,Research and Development,dylan0@adventure-works.com,181-555-0156,3,2
8,EM,,Diane,L,Margheim,,0,adventure-works\diane1,4,Research and Development Engineer,6/5/1986,S,F,12/29/2008,TRUE,62,51,TRUE,6,1,12/29/2008,,12/29/2008,40.8654,2,Research and Development,Research and Development,diane1@adventure-works.com,815-555-0138,1,2
9,EM,,Gigi,N,Matthew,,0,adventure-works\gigi0,4,Research and Development Engineer,1/21/1979,M,F,1/16/2009,TRUE,63,51,TRUE,6,1,1/16/2009,,1/16/2009,40.8654,2,Research and Development,Research and Development,gigi0@adventure-works.com,185-555-0186,1,2
10,EM,,Michael,,Raheem,,2,adventure-works\michael6,4,Research and Development Manager,11/30/1984,M,M,5/3/2009,TRUE,16,64,TRUE,6,1,5/3/2009,,5/3/2009,42.4808,2,Research and Development,Research and Development,michael6@adventure-works.com,330-555-2568,3,2
