BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,Rate,PayFrequency,DepartmentID,Name,GroupName,ShiftID,StartDate,StartTime,EndTime
1,295847284,adventure-works\ken0,chief executive officer,1969-01-29,s,m,2009-01-14,True,99,69,125.5,2,16,executive,executive general and administration,1,2009-01-14,2025-10-16 07:00:00,2025-10-16 15:00:00
2,245797967,adventure-works\terri0,vice president of engineering,1971-08-01,s,f,2008-01-31,True,1,20,63.4615,2,1,engineering,research and development,1,2008-01-31,2025-10-16 07:00:00,2025-10-16 15:00:00
3,509647174,adventure-works\roberto0,engineering manager,1974-11-12,m,m,2007-11-11,True,2,21,43.2692,2,1,engineering,research and development,1,2007-11-11,2025-10-16 07:00:00,2025-10-16 15:00:00
4,112457891,adventure-works\rob0,senior tool designer,1974-12-23,s,m,2007-12-05,False,48,80,8.62,2,1,engineering,research and development,1,2007-12-05,2025-10-16 07:00:00,2025-10-16 15:00:00
4,112457891,adventure-works\rob0,senior tool designer,1974-12-23,s,m,2007-12-05,False,48,80,8.62,2,2,tool design,research and development,1,2010-05-31,2025-10-16 07:00:00,2025-10-16 15:00:00
4,112457891,adventure-works\rob0,senior tool designer,1974-12-23,s,m,2007-12-05,False,48,80,23.72,2,1,engineering,research and development,1,2007-12-05,2025-10-16 07:00:00,2025-10-16 15:00:00
4,112457891,adventure-works\rob0,senior tool designer,1974-12-23,s,m,2007-12-05,False,48,80,23.72,2,2,tool design,research and development,1,2010-05-31,2025-10-16 07:00:00,2025-10-16 15:00:00
4,112457891,adventure-works\rob0,senior tool designer,1974-12-23,s,m,2007-12-05,False,48,80,29.8462,2,1,engineering,research and development,1,2007-12-05,2025-10-16 07:00:00,2025-10-16 15:00:00
4,112457891,adventure-works\rob0,senior tool designer,1974-12-23,s,m,2007-12-05,False,48,80,29.8462,2,2,tool design,research and development,1,2010-05-31,2025-10-16 07:00:00,2025-10-16 15:00:00
5,695256908,adventure-works\gail0,design engineer,1952-09-27,m,f,2008-01-06,True,5,22,32.6923,2,1,engineering,research and development,1,2008-01-06,2025-10-16 07:00:00,2025-10-16 15:00:00
6,998320692,adventure-works\jossef0,design engineer,1959-03-11,m,m,2008-01-24,True,6,23,32.6923,2,1,engineering,research and development,1,2008-01-24,2025-10-16 07:00:00,2025-10-16 15:00:00
7,134969118,adventure-works\dylan0,research and development manager,1987-02-24,m,m,2009-02-08,True,61,50,50.4808,2,6,research and development,research and development,1,2009-02-08,2025-10-16 07:00:00,2025-10-16 15:00:00
8,811994146,adventure-works\diane1,research and development engineer,1986-06-05,s,f,2008-12-29,True,62,51,40.8654,2,6,research and development,research and development,1,2008-12-29,2025-10-16 07:00:00,2025-10-16 15:00:00
9,658797903,adventure-works\gigi0,research and development engineer,1979-01-21,m,f,2009-01-16,True,63,51,40.8654,2,6,research and development,research and development,1,2009-01-16,2025-10-16 07:00:00,2025-10-16 15:00:00
10,879342154,adventure-works\michael6,research and development manager,1984-11-30,m,m,2009-05-03,True,16,64,42.4808,2,6,research and development,research and development,1,2009-05-03,2025-10-16 07:00:00,2025-10-16 15:00:00
11,974026903,adventure-works\ovidiu0,senior tool designer,1978-01-17,s,m,2010-12-05,False,7,23,28.8462,2,2,tool design,research and development,1,2010-12-05,2025-10-16 07:00:00,2025-10-16 15:00:00
12,480168528,adventure-works\thierry0,tool designer,1959-07-29,m,m,2007-12-11,False,9,24,25.0,2,2,tool design,research and development,1,2007-12-11,2025-10-16 07:00:00,2025-10-16 15:00:00
13,486228782,adventure-works\janice0,tool designer,1989-05-28,m,f,2010-12-23,False,8,24,25.0,2,2,tool design,research and development,1,2010-12-23,2025-10-16 07:00:00,2025-10-16 15:00:00
14,42487730,adventure-works\michael8,senior design engineer,1979-06-16,s,m,2010-12-30,True,3,21,36.0577,2,1,engineering,research and development,1,2010-12-30,2025-10-16 07:00:00,2025-10-16 15:00:00
15,56920285,adventure-works\sharon0,design engineer,1961-05-02,m,f,2011-01-18,True,4,22,32.6923,2,1,engineering,research and development,1,2011-01-18,2025-10-16 07:00:00,2025-10-16 15:00:00
16,24756624,adventure-works\david0,marketing manager,1975-03-19,s,m,2007-12-20,True,40,40,24.0,2,5,purchasing,inventory management,1,2007-12-20,2025-10-16 07:00:00,2025-10-16 15:00:00
16,24756624,adventure-works\david0,marketing manager,1975-03-19,s,m,2007-12-20,True,40,40,24.0,2,4,marketing,sales and marketing,1,2009-07-15,2025-10-16 07:00:00,2025-10-16 15:00:00
16,24756624,adventure-works\david0,marketing manager,1975-03-19,s,m,2007-12-20,True,40,40,28.75,2,5,purchasing,inventory management,1,2007-12-20,2025-10-16 07:00:00,2025-10-16 15:00:00
16,24756624,adventure-works\david0,marketing manager,1975-03-19,s,m,2007-12-20,True,40,40,28.75,2,4,marketing,sales and marketing,1,2009-07-15,2025-10-16 07:00:00,2025-10-16 15:00:00
16,24756624,adventure-works\david0,marketing manager,1975-03-19,s,m,2007-12-20,True,40,40,37.5,2,5,purchasing,inventory management,1,2007-12-20,2025-10-16 07:00:00,2025-10-16 15:00:00
16,24756624,adventure-works\david0,marketing manager,1975-03-19,s,m,2007-12-20,True,40,40,37.5,2,4,marketing,sales and marketing,1,2009-07-15,2025-10-16 07:00:00,2025-10-16 15:00:00
17,253022876,adventure-works\kevin0,marketing assistant,1987-05-03,s,m,2007-01-26,False,42,41,13.4615,2,4,marketing,sales and marketing,1,2007-01-26,2025-10-16 07:00:00,2025-10-16 15:00:00
18,222969461,adventure-works\john5,marketing specialist,1978-03-06,s,m,2011-02-07,False,48,44,14.4231,2,4,marketing,sales and marketing,1,2011-02-07,2025-10-16 07:00:00,2025-10-16 15:00:00
19,52541318,adventure-works\mary2,marketing assistant,1978-01-29,s,f,2011-02-14,False,43,41,13.4615,2,4,marketing,sales and marketing,1,2011-02-14,2025-10-16 07:00:00,2025-10-16 15:00:00
20,323403273,adventure-works\wanida0,marketing assistant,1975-03-17,m,f,2011-01-07,False,41,40,13.4615,2,4,marketing,sales and marketing,1,2011-01-07,2025-10-16 07:00:00,2025-10-16 15:00:00
21,243322160,adventure-works\terry0,marketing specialist,1986-02-04,m,m,2009-03-02,False,44,42,14.4231,2,4,marketing,sales and marketing,1,2009-03-02,2025-10-16 07:00:00,2025-10-16 15:00:00
22,95958330,adventure-works\sariya0,marketing specialist,1987-05-21,s,m,2008-12-12,False,45,42,14.4231,2,4,marketing,sales and marketing,1,2008-12-12,2025-10-16 07:00:00,2025-10-16 15:00:00
23,767955365,adventure-works\mary0,marketing specialist,1962-09-13,m,f,2009-01-12,False,46,43,14.4231,2,4,marketing,sales and marketing,1,2009-01-12,2025-10-16 07:00:00,2025-10-16 15:00:00
24,72636981,adventure-works\jill0,marketing specialist,1979-06-18,m,f,2009-01-18,False,47,43,14.4231,2,4,marketing,sales and marketing,1,2009-01-18,2025-10-16 07:00:00,2025-10-16 15:00:00
25,519899904,adventure-works\james1,vice president of production,1983-01-07,s,m,2009-02-03,True,64,52,84.1346,2,7,production,manufacturing,1,2009-02-03,2025-10-16 07:00:00,2025-10-16 15:00:00
26,277173473,adventure-works\peter0,production control manager,1982-11-03,m,m,2008-12-01,True,43,41,24.5192,2,8,production control,manufacturing,1,2008-12-01,2025-10-16 07:00:00,2025-10-16 15:00:00
27,446466105,adventure-works\jo0,production supervisor - wc60,1956-10-08,s,f,2008-02-27,False,80,60,25.0,2,7,production,manufacturing,1,2008-02-27,2025-10-16 07:00:00,2025-10-16 15:00:00
28,14417807,adventure-works\guy1,production technician - wc60,1988-03-13,m,m,2006-06-30,False,21,30,12.45,1,7,production,manufacturing,1,2006-06-30,2025-10-16 07:00:00,2025-10-16 15:00:00
29,948320468,adventure-works\mark1,production technician - wc60,1979-09-25,s,m,2009-01-23,False,19,29,12.45,1,7,production,manufacturing,1,2009-01-23,2025-10-16 07:00:00,2025-10-16 15:00:00
30,410742000,adventure-works\britta0,production technician - wc60,1989-09-28,m,f,2009-01-29,False,14,27,12.45,1,7,production,manufacturing,1,2009-01-29,2025-10-16 07:00:00,2025-10-16 15:00:00
31,750246141,adventure-works\margie0,production technician - wc60,1986-05-20,m,f,2009-01-04,False,18,29,12.45,1,7,production,manufacturing,1,2009-01-04,2025-10-16 07:00:00,2025-10-16 15:00:00
32,330211482,adventure-works\rebecca0,production technician - wc60,1977-07-10,m,f,2008-12-29,False,23,31,12.45,1,7,production,manufacturing,1,2008-12-29,2025-10-16 07:00:00,2025-10-16 15:00:00
33,801758002,adventure-works\annik0,production technician - wc60,1976-12-26,m,m,2008-12-17,False,17,28,12.45,1,7,production,manufacturing,1,2008-12-17,2025-10-16 07:00:00,2025-10-16 15:00:00
34,754372876,adventure-works\suchitra0,production technician - wc60,1987-06-10,m,f,2009-02-16,False,15,27,12.45,1,7,production,manufacturing,1,2009-02-16,2025-10-16 07:00:00,2025-10-16 15:00:00
35,999440576,adventure-works\brandon0,production technician - wc60,1977-01-10,m,m,2009-02-08,False,22,31,12.45,1,7,production,manufacturing,1,2009-02-08,2025-10-16 07:00:00,2025-10-16 15:00:00
36,788456780,adventure-works\jose0,production technician - wc60,1984-07-31,m,m,2009-02-10,False,20,30,12.45,1,7,production,manufacturing,1,2009-02-10,2025-10-16 07:00:00,2025-10-16 15:00:00
